material,grade,subject,category,subcategory
Al-Quran Juz 30,4,ALIM,Baca-Tulis,Baca huruf Al-Quran
Tajwid : Mempraktikkan tajwid yang sudah dipelajari dalam membaca Al-Quran juz 30,4,ALIM,Baca-Tulis,Baca huruf Al-Quran
Al-Quran Juz 1 dan 2,4,ALIM,Baca-Tulis,Baca huruf Al-Quran
Tajwid : Mempraktikkan tajwid yang sudah dipelajari dalam membaca Al-Quran juz 1 dan 2,4,ALIM,Baca-Tulis,Baca huruf Al-Quran
Latihan makna pegon dan kode-kodenya dengan menggunakan mushaf Al-Quran,4,ALIM,Baca-Tulis,Tulis huruf Al-Quran
Menjaga hafalan surat An-Naas s.d. Al-qodr,4,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Surat Al-alaq,4,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Surat At-tin,4,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Surat Al-insyiroh,4,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Asmaulhusna 1-99,4,ALIM,Hafalan,Hafalan doa-doa harian
Menerampilkan hafalan doa pada jenjang sebelumnya,4,ALIM,Hafalan,Hafalan doa-doa harian
Doa sujud Al-Quran,4,ALIM,Hafalan,Hafalan doa-doa harian
kumpulan doa Nabi Muhammad,4,ALIM,Hafalan,Hafalan doa-doa harian
Doa berlindung dari sifat munafiq,4,ALIM,Hafalan,Hafalan doa-doa harian
Doa agar bisa bersyukur,4,ALIM,Hafalan,Hafalan doa-doa harian
"Doa berlindung dari jeleknya pendengaran, ucapan, dan penglihatan",4,ALIM,Hafalan,Hafalan doa-doa harian
Doa berlindung dari sifat pelit dan penakut,4,ALIM,Hafalan,Hafalan doa-doa harian
Dasar-dasar aqidah,4,ALIM,Keilmuan,Dasar Keagamaan
"Rukun iman, rukun islam dan ihsan",4,ALIM,Keilmuan,Dasar Keagamaan
Pengertian Qur'an Hadits Jamaah,4,ALIM,Keilmuan,Dasar Keagamaan
"Ilmu manqul, musnad, muttashil",4,ALIM,Keilmuan,Dasar Keagamaan
Kemurnian ibadah,4,ALIM,Keilmuan,Dasar Keagamaan
Pengetahuan wajibnya taat dan haromnya maksiat,4,ALIM,Keilmuan,Dasar Keagamaan
Pengetahuan hukum halAl-harom,4,ALIM,Keilmuan,Dasar Keagamaan
Thoharoh dan sholat,4,ALIM,Keilmuan,Dasar Keagamaan
Mandi junub,4,ALIM,Keilmuan,Dasar Keagamaan
"Hukum haid, mani, madzi, dan wadhi",4,ALIM,Keilmuan,Dasar Keagamaan
"Sholat sunnah: Rowatib, dluha, tahajjud, tasbih, hajat, dan istikhoroh",4,ALIM,Keilmuan,Dasar Keagamaan
Puasa Romadhon,4,ALIM,Keilmuan,Dasar Keagamaan
Kefadlolan puasa dan hal-hal yang diperbolehkan serta membatalkan puasa,4,ALIM,Keilmuan,Dasar Keagamaan
Hukum mahrom,4,ALIM,Keilmuan,Dasar Keagamaan
Aurot,4,ALIM,Keilmuan,Dasar Keagamaan
