material,grade,subject,category,subcategory
"Menjaga hafalan juz 30 dan surat pilihan sebelumnya (Al-Baqoroh, Al-Hasyr, As-Shof)",11,ALIM,Hafalan,Hafalan surat-surat Al-Quran
"Al-Mu'minun 1-11, 115-118",11,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Al-Kahfi 1-10,11,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Menjaga dan mempraktikkan hafalan doa-doa harian yang telah dihafal,11,ALIM,Hafalan,Hafalan doa-doa harian
Menampilkan hafalan dalil pada jenjang sebelumnya,11,ALIM,Hafalan,Dalil
Lima Bab,11,ALIM,Hafalan,Dalil
Empat Tali Keimanan,11,ALIM,Hafalan,Dalil
Tri Sukses Generasi Penerus,11,ALIM,Hafalan,Dalil
Dasar-dasar aqidah,11,ALIM,Keilmuan,Dasar Keagamaan
"Rukun iman, rukun islam dan ihsan",11,ALIM,Keilmuan,Dasar Keagamaan
Pengertian Qur'an Hadits Jamaah,11,ALIM,Keilmuan,Dasar Keagamaan
"Ilmu manqul, musnad, muttashil",11,ALIM,Keilmuan,Dasar Keagamaan
Kemurnian ibadah,11,ALIM,Keilmuan,Dasar Keagamaan
Pengetahuan wajibnya taat dan haromnya maksiat,11,ALIM,Keilmuan,Dasar Keagamaan
Pengetahuan hukum halAl-harom,11,ALIM,Keilmuan,Dasar Keagamaan
Thoharoh dan sholat,11,ALIM,Keilmuan,Dasar Keagamaan
Mandi junub,11,ALIM,Keilmuan,Dasar Keagamaan
"Hukum haid, mani, madzi, dan wadhi",11,ALIM,Keilmuan,Dasar Keagamaan
"Sholat sunnah: Rowatib, dluha, tahajjud, tasbih, hajat, dan istikhoroh",11,ALIM,Keilmuan,Dasar Keagamaan
Puasa Romadhon,11,ALIM,Keilmuan,Dasar Keagamaan
Kefadlolan puasa dan hal-hal yang diperbolehkan serta membatalkan puasa,11,ALIM,Keilmuan,Dasar Keagamaan
Puasa sunah,11,ALIM,Keilmuan,Dasar Keagamaan
Hukum mahrom,11,ALIM,Keilmuan,Dasar Keagamaan
Aurot,11,ALIM,Keilmuan,Dasar Keagamaan
242,11,ALIM,Al-Qur'an,Juz 13
243,11,ALIM,Al-Qur'an,Juz 13
244,11,ALIM,Al-Qur'an,Juz 13
245,11,ALIM,Al-Qur'an,Juz 13
246,11,ALIM,Al-Qur'an,Juz 13
247,11,ALIM,Al-Qur'an,Juz 13
248,11,ALIM,Al-Qur'an,Juz 13
249,11,ALIM,Al-Qur'an,Juz 13
250,11,ALIM,Al-Qur'an,Juz 13
251,11,ALIM,Al-Qur'an,Juz 13
252,11,ALIM,Al-Qur'an,Juz 13
253,11,ALIM,Al-Qur'an,Juz 13
254,11,ALIM,Al-Qur'an,Juz 13
255,11,ALIM,Al-Qur'an,Juz 13
256,11,ALIM,Al-Qur'an,Juz 13
257,11,ALIM,Al-Qur'an,Juz 13
258,11,ALIM,Al-Qur'an,Juz 13
259,11,ALIM,Al-Qur'an,Juz 13
260,11,ALIM,Al-Qur'an,Juz 13
261,11,ALIM,Al-Qur'an,Juz 13
262,11,ALIM,Al-Qur'an,Juz 14
263,11,ALIM,Al-Qur'an,Juz 14
264,11,ALIM,Al-Qur'an,Juz 14
265,11,ALIM,Al-Qur'an,Juz 14
266,11,ALIM,Al-Qur'an,Juz 14
267,11,ALIM,Al-Qur'an,Juz 14
268,11,ALIM,Al-Qur'an,Juz 14
269,11,ALIM,Al-Qur'an,Juz 14
270,11,ALIM,Al-Qur'an,Juz 14
271,11,ALIM,Al-Qur'an,Juz 14
272,11,ALIM,Al-Qur'an,Juz 14
273,11,ALIM,Al-Qur'an,Juz 14
274,11,ALIM,Al-Qur'an,Juz 14
275,11,ALIM,Al-Qur'an,Juz 14
276,11,ALIM,Al-Qur'an,Juz 14
277,11,ALIM,Al-Qur'an,Juz 14
278,11,ALIM,Al-Qur'an,Juz 14
279,11,ALIM,Al-Qur'an,Juz 14
280,11,ALIM,Al-Qur'an,Juz 14
281,11,ALIM,Al-Qur'an,Juz 14
282,11,ALIM,Al-Qur'an,Juz 14
283,11,ALIM,Al-Qur'an,Juz 15
284,11,ALIM,Al-Qur'an,Juz 15
285,11,ALIM,Al-Qur'an,Juz 15
286,11,ALIM,Al-Qur'an,Juz 15
287,11,ALIM,Al-Qur'an,Juz 15
288,11,ALIM,Al-Qur'an,Juz 15
289,11,ALIM,Al-Qur'an,Juz 15
290,11,ALIM,Al-Qur'an,Juz 15
291,11,ALIM,Al-Qur'an,Juz 15
292,11,ALIM,Al-Qur'an,Juz 15
293,11,ALIM,Al-Qur'an,Juz 15
294,11,ALIM,Al-Qur'an,Juz 15
295,11,ALIM,Al-Qur'an,Juz 15
296,11,ALIM,Al-Qur'an,Juz 15
297,11,ALIM,Al-Qur'an,Juz 15
298,11,ALIM,Al-Qur'an,Juz 15
299,11,ALIM,Al-Qur'an,Juz 15
300,11,ALIM,Al-Qur'an,Juz 15
301,11,ALIM,Al-Qur'an,Juz 15
302,11,ALIM,Al-Qur'an,Juz 16
303,11,ALIM,Al-Qur'an,Juz 16
304,11,ALIM,Al-Qur'an,Juz 16
305,11,ALIM,Al-Qur'an,Juz 16
306,11,ALIM,Al-Qur'an,Juz 16
307,11,ALIM,Al-Qur'an,Juz 16
308,11,ALIM,Al-Qur'an,Juz 16
309,11,ALIM,Al-Qur'an,Juz 16
310,11,ALIM,Al-Qur'an,Juz 16
311,11,ALIM,Al-Qur'an,Juz 16
312,11,ALIM,Al-Qur'an,Juz 16
313,11,ALIM,Al-Qur'an,Juz 16
314,11,ALIM,Al-Qur'an,Juz 16
315,11,ALIM,Al-Qur'an,Juz 16
316,11,ALIM,Al-Qur'an,Juz 16
317,11,ALIM,Al-Qur'an,Juz 16
318,11,ALIM,Al-Qur'an,Juz 16
319,11,ALIM,Al-Qur'an,Juz 16
320,11,ALIM,Al-Qur'an,Juz 16
321,11,ALIM,Al-Qur'an,Juz 16
1,11,ALIM,Hadits,Kitabul Ahkam
2,11,ALIM,Hadits,Kitabul Ahkam
3,11,ALIM,Hadits,Kitabul Ahkam
4,11,ALIM,Hadits,Kitabul Ahkam
5,11,ALIM,Hadits,Kitabul Ahkam
6,11,ALIM,Hadits,Kitabul Ahkam
7,11,ALIM,Hadits,Kitabul Ahkam
8,11,ALIM,Hadits,Kitabul Ahkam
9,11,ALIM,Hadits,Kitabul Ahkam
10,11,ALIM,Hadits,Kitabul Ahkam
11,11,ALIM,Hadits,Kitabul Ahkam
12,11,ALIM,Hadits,Kitabul Ahkam
13,11,ALIM,Hadits,Kitabul Ahkam
14,11,ALIM,Hadits,Kitabul Ahkam
15,11,ALIM,Hadits,Kitabul Ahkam
16,11,ALIM,Hadits,Kitabul Ahkam
17,11,ALIM,Hadits,Kitabul Ahkam
18,11,ALIM,Hadits,Kitabul Ahkam
19,11,ALIM,Hadits,Kitabul Ahkam
20,11,ALIM,Hadits,Kitabul Ahkam
21,11,ALIM,Hadits,Kitabul Ahkam
22,11,ALIM,Hadits,Kitabul Ahkam
23,11,ALIM,Hadits,Kitabul Ahkam
24,11,ALIM,Hadits,Kitabul Ahkam
25,11,ALIM,Hadits,Kitabul Ahkam
26,11,ALIM,Hadits,Kitabul Ahkam
27,11,ALIM,Hadits,Kitabul Ahkam
28,11,ALIM,Hadits,Kitabul Ahkam
29,11,ALIM,Hadits,Kitabul Ahkam
30,11,ALIM,Hadits,Kitabul Ahkam
31,11,ALIM,Hadits,Kitabul Ahkam
32,11,ALIM,Hadits,Kitabul Ahkam
33,11,ALIM,Hadits,Kitabul Ahkam
34,11,ALIM,Hadits,Kitabul Ahkam
35,11,ALIM,Hadits,Kitabul Ahkam
36,11,ALIM,Hadits,Kitabul Ahkam
37,11,ALIM,Hadits,Kitabul Ahkam
38,11,ALIM,Hadits,Kitabul Ahkam
39,11,ALIM,Hadits,Kitabul Ahkam
40,11,ALIM,Hadits,Kitabul Ahkam
41,11,ALIM,Hadits,Kitabul Ahkam
42,11,ALIM,Hadits,Kitabul Ahkam
43,11,ALIM,Hadits,Kitabul Ahkam
44,11,ALIM,Hadits,Kitabul Ahkam
45,11,ALIM,Hadits,Kitabul Ahkam
46,11,ALIM,Hadits,Kitabul Ahkam
47,11,ALIM,Hadits,Kitabul Ahkam
48,11,ALIM,Hadits,Kitabul Ahkam
49,11,ALIM,Hadits,Kitabul Ahkam
50,11,ALIM,Hadits,Kitabul Ahkam
51,11,ALIM,Hadits,Kitabul Ahkam
52,11,ALIM,Hadits,Kitabul Ahkam
53,11,ALIM,Hadits,Kitabul Ahkam
54,11,ALIM,Hadits,Kitabul Ahkam
55,11,ALIM,Hadits,Kitabul Ahkam
56,11,ALIM,Hadits,Kitabul Ahkam
57,11,ALIM,Hadits,Kitabul Ahkam
58,11,ALIM,Hadits,Kitabul Ahkam
59,11,ALIM,Hadits,Kitabul Ahkam
60,11,ALIM,Hadits,Kitabul Ahkam
61,11,ALIM,Hadits,Kitabul Ahkam
62,11,ALIM,Hadits,Kitabul Ahkam
63,11,ALIM,Hadits,Kitabul Ahkam
64,11,ALIM,Hadits,Kitabul Ahkam
65,11,ALIM,Hadits,Kitabul Ahkam
66,11,ALIM,Hadits,Kitabul Ahkam
67,11,ALIM,Hadits,Kitabul Ahkam
68,11,ALIM,Hadits,Kitabul Ahkam
69,11,ALIM,Hadits,Kitabul Ahkam
70,11,ALIM,Hadits,Kitabul Ahkam
71,11,ALIM,Hadits,Kitabul Ahkam
72,11,ALIM,Hadits,Kitabul Ahkam
73,11,ALIM,Hadits,Kitabul Ahkam
74,11,ALIM,Hadits,Kitabul Ahkam
75,11,ALIM,Hadits,Kitabul Ahkam
76,11,ALIM,Hadits,Kitabul Ahkam
77,11,ALIM,Hadits,Kitabul Ahkam
78,11,ALIM,Hadits,Kitabul Ahkam
79,11,ALIM,Hadits,Kitabul Ahkam
80,11,ALIM,Hadits,Kitabul Ahkam
81,11,ALIM,Hadits,Kitabul Ahkam
82,11,ALIM,Hadits,Kitabul Ahkam
83,11,ALIM,Hadits,Kitabul Ahkam
84,11,ALIM,Hadits,Kitabul Ahkam
85,11,ALIM,Hadits,Kitabul Ahkam
86,11,ALIM,Hadits,Kitabul Ahkam
87,11,ALIM,Hadits,Kitabul Ahkam
88,11,ALIM,Hadits,Kitabul Ahkam
89,11,ALIM,Hadits,Kitabul Ahkam
90,11,ALIM,Hadits,Kitabul Ahkam
91,11,ALIM,Hadits,Kitabul Ahkam
92,11,ALIM,Hadits,Kitabul Ahkam
93,11,ALIM,Hadits,Kitabul Ahkam
94,11,ALIM,Hadits,Kitabul Ahkam
95,11,ALIM,Hadits,Kitabul Ahkam
96,11,ALIM,Hadits,Kitabul Ahkam
97,11,ALIM,Hadits,Kitabul Ahkam
98,11,ALIM,Hadits,Kitabul Ahkam
99,11,ALIM,Hadits,Kitabul Ahkam
100,11,ALIM,Hadits,Kitabul Ahkam
101,11,ALIM,Hadits,Kitabul Ahkam
102,11,ALIM,Hadits,Kitabul Ahkam
103,11,ALIM,Hadits,Kitabul Ahkam
104,11,ALIM,Hadits,Kitabul Ahkam
105,11,ALIM,Hadits,Kitabul Ahkam
106,11,ALIM,Hadits,Kitabul Ahkam
107,11,ALIM,Hadits,Kitabul Ahkam
108,11,ALIM,Hadits,Kitabul Ahkam
109,11,ALIM,Hadits,Kitabul Ahkam
110,11,ALIM,Hadits,Kitabul Ahkam
111,11,ALIM,Hadits,Kitabul Ahkam
112,11,ALIM,Hadits,Kitabul Ahkam
113,11,ALIM,Hadits,Kitabul Ahkam
114,11,ALIM,Hadits,Kitabul Ahkam
115,11,ALIM,Hadits,Kitabul Ahkam
116,11,ALIM,Hadits,Kitabul Ahkam
117,11,ALIM,Hadits,Kitabul Ahkam
118,11,ALIM,Hadits,Kitabul Ahkam
119,11,ALIM,Hadits,Kitabul Ahkam
120,11,ALIM,Hadits,Kitabul Ahkam
121,11,ALIM,Hadits,Kitabul Ahkam
122,11,ALIM,Hadits,Kitabul Ahkam
123,11,ALIM,Hadits,Kitabul Ahkam
124,11,ALIM,Hadits,Kitabul Ahkam
1,11,ALIM,Hadits,Kitabul Jihad
2,11,ALIM,Hadits,Kitabul Jihad
3,11,ALIM,Hadits,Kitabul Jihad
4,11,ALIM,Hadits,Kitabul Jihad
5,11,ALIM,Hadits,Kitabul Jihad
6,11,ALIM,Hadits,Kitabul Jihad
7,11,ALIM,Hadits,Kitabul Jihad
8,11,ALIM,Hadits,Kitabul Jihad
9,11,ALIM,Hadits,Kitabul Jihad
10,11,ALIM,Hadits,Kitabul Jihad
11,11,ALIM,Hadits,Kitabul Jihad
12,11,ALIM,Hadits,Kitabul Jihad
13,11,ALIM,Hadits,Kitabul Jihad
14,11,ALIM,Hadits,Kitabul Jihad
15,11,ALIM,Hadits,Kitabul Jihad
16,11,ALIM,Hadits,Kitabul Jihad
17,11,ALIM,Hadits,Kitabul Jihad
18,11,ALIM,Hadits,Kitabul Jihad
19,11,ALIM,Hadits,Kitabul Jihad
20,11,ALIM,Hadits,Kitabul Jihad
21,11,ALIM,Hadits,Kitabul Jihad
22,11,ALIM,Hadits,Kitabul Jihad
23,11,ALIM,Hadits,Kitabul Jihad
24,11,ALIM,Hadits,Kitabul Jihad
25,11,ALIM,Hadits,Kitabul Jihad
26,11,ALIM,Hadits,Kitabul Jihad
27,11,ALIM,Hadits,Kitabul Jihad
28,11,ALIM,Hadits,Kitabul Jihad
29,11,ALIM,Hadits,Kitabul Jihad
30,11,ALIM,Hadits,Kitabul Jihad
31,11,ALIM,Hadits,Kitabul Jihad
32,11,ALIM,Hadits,Kitabul Jihad
33,11,ALIM,Hadits,Kitabul Jihad
34,11,ALIM,Hadits,Kitabul Jihad
35,11,ALIM,Hadits,Kitabul Jihad
36,11,ALIM,Hadits,Kitabul Jihad
37,11,ALIM,Hadits,Kitabul Jihad
38,11,ALIM,Hadits,Kitabul Jihad
39,11,ALIM,Hadits,Kitabul Jihad
40,11,ALIM,Hadits,Kitabul Jihad
41,11,ALIM,Hadits,Kitabul Jihad
42,11,ALIM,Hadits,Kitabul Jihad
43,11,ALIM,Hadits,Kitabul Jihad
44,11,ALIM,Hadits,Kitabul Jihad
45,11,ALIM,Hadits,Kitabul Jihad
46,11,ALIM,Hadits,Kitabul Jihad
47,11,ALIM,Hadits,Kitabul Jihad
48,11,ALIM,Hadits,Kitabul Jihad
49,11,ALIM,Hadits,Kitabul Jihad
50,11,ALIM,Hadits,Kitabul Jihad
51,11,ALIM,Hadits,Kitabul Jihad
52,11,ALIM,Hadits,Kitabul Jihad
53,11,ALIM,Hadits,Kitabul Jihad
54,11,ALIM,Hadits,Kitabul Jihad
55,11,ALIM,Hadits,Kitabul Jihad
56,11,ALIM,Hadits,Kitabul Jihad
57,11,ALIM,Hadits,Kitabul Jihad
58,11,ALIM,Hadits,Kitabul Jihad
59,11,ALIM,Hadits,Kitabul Jihad
60,11,ALIM,Hadits,Kitabul Jihad
61,11,ALIM,Hadits,Kitabul Jihad
62,11,ALIM,Hadits,Kitabul Jihad
63,11,ALIM,Hadits,Kitabul Jihad
1,11,ALIM,Hadits,Kitabul Manasik wal Jihad
2,11,ALIM,Hadits,Kitabul Manasik wal Jihad
3,11,ALIM,Hadits,Kitabul Manasik wal Jihad
4,11,ALIM,Hadits,Kitabul Manasik wal Jihad
5,11,ALIM,Hadits,Kitabul Manasik wal Jihad
6,11,ALIM,Hadits,Kitabul Manasik wal Jihad
7,11,ALIM,Hadits,Kitabul Manasik wal Jihad
8,11,ALIM,Hadits,Kitabul Manasik wal Jihad
9,11,ALIM,Hadits,Kitabul Manasik wal Jihad
10,11,ALIM,Hadits,Kitabul Manasik wal Jihad
11,11,ALIM,Hadits,Kitabul Manasik wal Jihad
12,11,ALIM,Hadits,Kitabul Manasik wal Jihad
13,11,ALIM,Hadits,Kitabul Manasik wal Jihad
14,11,ALIM,Hadits,Kitabul Manasik wal Jihad
15,11,ALIM,Hadits,Kitabul Manasik wal Jihad
16,11,ALIM,Hadits,Kitabul Manasik wal Jihad
17,11,ALIM,Hadits,Kitabul Manasik wal Jihad
18,11,ALIM,Hadits,Kitabul Manasik wal Jihad
19,11,ALIM,Hadits,Kitabul Manasik wal Jihad
20,11,ALIM,Hadits,Kitabul Manasik wal Jihad
21,11,ALIM,Hadits,Kitabul Manasik wal Jihad
22,11,ALIM,Hadits,Kitabul Manasik wal Jihad
23,11,ALIM,Hadits,Kitabul Manasik wal Jihad
24,11,ALIM,Hadits,Kitabul Manasik wal Jihad
25,11,ALIM,Hadits,Kitabul Manasik wal Jihad
26,11,ALIM,Hadits,Kitabul Manasik wal Jihad
27,11,ALIM,Hadits,Kitabul Manasik wal Jihad
28,11,ALIM,Hadits,Kitabul Manasik wal Jihad
29,11,ALIM,Hadits,Kitabul Manasik wal Jihad
30,11,ALIM,Hadits,Kitabul Manasik wal Jihad
