material,grade,subject,category,subcategory
Menjaga dan menerampilkan hafalan surat-surat Al-Quan pada jenjang sebelumnya,15,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Menjaga dan menerampilkan hafalan doa-doa harian pada jenjang sebelumnya,15,ALIM,Hafalan,Hafalan doa-doa harian
Menampilkan hafalan dalil pada jenjang sebelumnya,15,ALIM,Hafalan,Dalil
Dasar-dasar aqidah,15,ALIM,Keilmuan,Dasar Keagamaan
"Rukun iman, rukun islam dan ihsan",15,ALIM,Keilmuan,Dasar Keagamaan
Pengertian Quran Hadits Jamaah,15,ALIM,Keilmuan,Dasar Keagamaan
"Ilmu manqul, musnad, muttashil",15,ALIM,Keilmuan,Dasar Keagamaan
Kemurnian ibadah,15,ALIM,Keilmuan,Dasar Keagamaan
Pengetahuan wajibnya taat dan haromnya maksiat,15,ALIM,Keilmuan,Dasar Keagamaan
Pengetahuan hukum halAl-harom,15,ALIM,Keilmuan,Dasar Keagamaan
Thoharoh dan sholat,15,ALIM,Keilmuan,Dasar Keagamaan
Mandi junub,15,ALIM,Keilmuan,Dasar Keagamaan
"Hukum haid, mani, madzi, dan wadhi",15,ALIM,Keilmuan,Dasar Keagamaan
"Sholat sunnah: Rowatib, dluha, tahajjud, tasbih, hajat, dan istikhoroh",15,ALIM,Keilmuan,Dasar Keagamaan
Puasa Romadhon,15,ALIM,Keilmuan,Dasar Keagamaan
Kefadlolan puasa dan hal-hal yang diperbolehkan serta membatalkan puasa,15,ALIM,Keilmuan,Dasar Keagamaan
Puasa sunah,15,ALIM,Keilmuan,Dasar Keagamaan
Hukum mahrom,15,ALIM,Keilmuan,Dasar Keagamaan
Aurot,15,ALIM,Keilmuan,Dasar Keagamaan
Hadits Sunan Ibnu Majah jilid 1-2,15,ALIM,Hadits,
