material,grade,subject,category,subcategory
Al-Qur'an juz 7 dan 8,7,ALIM,Baca-Tulis,Baca huruf Al-Quran
"Al-Qur'an juz 12, 13, 14, 15, 16, dan 17",7,ALIM,Baca-Tulis,Baca huruf Al-Quran
Hukum Isti'adzah dan Basmalah,7,ALIM,Baca-Tulis,Baca huruf Al-Quran
"Hukum Nun Sukun dan Tanwin (Idhhar halqi, Idghom Bigunnah, Idhhar Wajib, Idghom Bilaa Ghunnah, Iqlab, Ikhfa' Haqiqi)",7,ALIM,Baca-Tulis,Baca huruf Al-Quran
"Hukum Mim Sukun (Ikhfa' Syafawy, Idghom Mimy, Idhhar Syafawy)",7,ALIM,Baca-Tulis,Baca huruf Al-Quran
Hukum Mim Tasydud dab Nun Tasydid (Guhnnah),7,ALIM,Baca-Tulis,Baca huruf Al-Quran
Hukum takbir,7,ALIM,Baca-Tulis,Baca huruf Al-Quran
Hukum Al Ma'rifat (Idhhar Qomariyah dan Idghom Syamsiyah),7,ALIM,Baca-Tulis,Baca huruf Al-Quran
Hukum Lam yang terdapat dalam kalimah fi'il,7,ALIM,Baca-Tulis,Baca huruf Al-Quran
"Hukum Idghom (Mutamtsilain, Mutaqoribain, Mutajanisain)",7,ALIM,Baca-Tulis,Baca huruf Al-Quran
Menjaga hafalan surat An-Naas s.d. at-Thoriq,7,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Surat Al Buruuj,7,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Surat Al Insyiqaq,7,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Surat-surat pilihan (tiga ayat terakhir surat Al-Hasyr),7,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Menjaga dan mempraktikkan hafalan doa-doa harian yang telah dihafal,7,ALIM,Hafalan,Hafalan doa-doa harian
Menampilkan hafalan dalil pada jenjang sebelumnya,7,ALIM,Hafalan,Dalil
Wajibnya berjamaah,7,ALIM,Hafalan,Dalil
Dasar-dasar aqidah,7,ALIM,Keilmuan,Dasar Keagamaan
"Rukun iman, rukun islam dan ihsan",7,ALIM,Keilmuan,Dasar Keagamaan
Pengertian Qur'an Hadits Jamaah,7,ALIM,Keilmuan,Dasar Keagamaan
"Ilmu manqul, musnad, muttashil",7,ALIM,Keilmuan,Dasar Keagamaan
Kemurnian ibadah,7,ALIM,Keilmuan,Dasar Keagamaan
Pengetahuan wajibnya taat dan haromnya maksiat,7,ALIM,Keilmuan,Dasar Keagamaan
Pengetahuan hukum halAl-harom,7,ALIM,Keilmuan,Dasar Keagamaan
Thoharoh dan sholat,7,ALIM,Keilmuan,Dasar Keagamaan
Mandi junub,7,ALIM,Keilmuan,Dasar Keagamaan
"Hukum haid, mani, madzi, dan wadhi",7,ALIM,Keilmuan,Dasar Keagamaan
"Sholat sunnah: Rowatib, dluha, tahajjud, tasbih, hajat, dan istikhoroh",7,ALIM,Keilmuan,Dasar Keagamaan
Puasa Romadhon,7,ALIM,Keilmuan,Dasar Keagamaan
Kefadlolan puasa dan hal-hal yang diperbolehkan serta membatalkan puasa,7,ALIM,Keilmuan,Dasar Keagamaan
Puasa sunah,7,ALIM,Keilmuan,Dasar Keagamaan
Hukum mahrom,7,ALIM,Keilmuan,Dasar Keagamaan
Aurot,7,ALIM,Keilmuan,Dasar Keagamaan
402,7,ALIM,Al-Qur'an,Juz 21
403,7,ALIM,Al-Qur'an,Juz 21
404,7,ALIM,Al-Qur'an,Juz 21
405,7,ALIM,Al-Qur'an,Juz 21
406,7,ALIM,Al-Qur'an,Juz 21
407,7,ALIM,Al-Qur'an,Juz 21
408,7,ALIM,Al-Qur'an,Juz 21
409,7,ALIM,Al-Qur'an,Juz 21
410,7,ALIM,Al-Qur'an,Juz 21
411,7,ALIM,Al-Qur'an,Juz 21
412,7,ALIM,Al-Qur'an,Juz 21
413,7,ALIM,Al-Qur'an,Juz 21
414,7,ALIM,Al-Qur'an,Juz 21
415,7,ALIM,Al-Qur'an,Juz 21
416,7,ALIM,Al-Qur'an,Juz 21
417,7,ALIM,Al-Qur'an,Juz 21
418,7,ALIM,Al-Qur'an,Juz 21
419,7,ALIM,Al-Qur'an,Juz 21
420,7,ALIM,Al-Qur'an,Juz 21
421,7,ALIM,Al-Qur'an,Juz 21
422,7,ALIM,Al-Qur'an,Juz 22
423,7,ALIM,Al-Qur'an,Juz 22
424,7,ALIM,Al-Qur'an,Juz 22
425,7,ALIM,Al-Qur'an,Juz 22
426,7,ALIM,Al-Qur'an,Juz 22
427,7,ALIM,Al-Qur'an,Juz 22
428,7,ALIM,Al-Qur'an,Juz 22
429,7,ALIM,Al-Qur'an,Juz 22
430,7,ALIM,Al-Qur'an,Juz 22
431,7,ALIM,Al-Qur'an,Juz 22
432,7,ALIM,Al-Qur'an,Juz 22
433,7,ALIM,Al-Qur'an,Juz 22
434,7,ALIM,Al-Qur'an,Juz 22
435,7,ALIM,Al-Qur'an,Juz 22
436,7,ALIM,Al-Qur'an,Juz 22
437,7,ALIM,Al-Qur'an,Juz 22
438,7,ALIM,Al-Qur'an,Juz 22
439,7,ALIM,Al-Qur'an,Juz 22
440,7,ALIM,Al-Qur'an,Juz 22
441,7,ALIM,Al-Qur'an,Juz 23
442,7,ALIM,Al-Qur'an,Juz 23
443,7,ALIM,Al-Qur'an,Juz 23
444,7,ALIM,Al-Qur'an,Juz 23
445,7,ALIM,Al-Qur'an,Juz 23
446,7,ALIM,Al-Qur'an,Juz 23
447,7,ALIM,Al-Qur'an,Juz 23
448,7,ALIM,Al-Qur'an,Juz 23
449,7,ALIM,Al-Qur'an,Juz 23
450,7,ALIM,Al-Qur'an,Juz 23
451,7,ALIM,Al-Qur'an,Juz 23
452,7,ALIM,Al-Qur'an,Juz 23
453,7,ALIM,Al-Qur'an,Juz 23
454,7,ALIM,Al-Qur'an,Juz 23
455,7,ALIM,Al-Qur'an,Juz 23
456,7,ALIM,Al-Qur'an,Juz 23
457,7,ALIM,Al-Qur'an,Juz 23
458,7,ALIM,Al-Qur'an,Juz 23
459,7,ALIM,Al-Qur'an,Juz 23
460,7,ALIM,Al-Qur'an,Juz 23
461,7,ALIM,Al-Qur'an,Juz 23
1,7,ALIM,Hadits,Kitabusholah
2,7,ALIM,Hadits,Kitabusholah
3,7,ALIM,Hadits,Kitabusholah
4,7,ALIM,Hadits,Kitabusholah
5,7,ALIM,Hadits,Kitabusholah
6,7,ALIM,Hadits,Kitabusholah
7,7,ALIM,Hadits,Kitabusholah
8,7,ALIM,Hadits,Kitabusholah
9,7,ALIM,Hadits,Kitabusholah
10,7,ALIM,Hadits,Kitabusholah
11,7,ALIM,Hadits,Kitabusholah
12,7,ALIM,Hadits,Kitabusholah
13,7,ALIM,Hadits,Kitabusholah
14,7,ALIM,Hadits,Kitabusholah
15,7,ALIM,Hadits,Kitabusholah
16,7,ALIM,Hadits,Kitabusholah
17,7,ALIM,Hadits,Kitabusholah
18,7,ALIM,Hadits,Kitabusholah
19,7,ALIM,Hadits,Kitabusholah
20,7,ALIM,Hadits,Kitabusholah
21,7,ALIM,Hadits,Kitabusholah
22,7,ALIM,Hadits,Kitabusholah
23,7,ALIM,Hadits,Kitabusholah
24,7,ALIM,Hadits,Kitabusholah
25,7,ALIM,Hadits,Kitabusholah
26,7,ALIM,Hadits,Kitabusholah
27,7,ALIM,Hadits,Kitabusholah
28,7,ALIM,Hadits,Kitabusholah
29,7,ALIM,Hadits,Kitabusholah
30,7,ALIM,Hadits,Kitabusholah
31,7,ALIM,Hadits,Kitabusholah
32,7,ALIM,Hadits,Kitabusholah
33,7,ALIM,Hadits,Kitabusholah
34,7,ALIM,Hadits,Kitabusholah
35,7,ALIM,Hadits,Kitabusholah
36,7,ALIM,Hadits,Kitabusholah
37,7,ALIM,Hadits,Kitabusholah
38,7,ALIM,Hadits,Kitabusholah
39,7,ALIM,Hadits,Kitabusholah
40,7,ALIM,Hadits,Kitabusholah
41,7,ALIM,Hadits,Kitabusholah
42,7,ALIM,Hadits,Kitabusholah
43,7,ALIM,Hadits,Kitabusholah
44,7,ALIM,Hadits,Kitabusholah
45,7,ALIM,Hadits,Kitabusholah
46,7,ALIM,Hadits,Kitabusholah
47,7,ALIM,Hadits,Kitabusholah
48,7,ALIM,Hadits,Kitabusholah
49,7,ALIM,Hadits,Kitabusholah
50,7,ALIM,Hadits,Kitabusholah
51,7,ALIM,Hadits,Kitabusholah
52,7,ALIM,Hadits,Kitabusholah
53,7,ALIM,Hadits,Kitabusholah
