material,grade,subject,category,subcategory
Cara membaca qolqolah,3,ALIM,Baca-Tulis,Baca huruf Al-Quran
Cara membaca iqlab,3,ALIM,Baca-Tulis,Baca huruf Al-Quran
"Bacaan Idhar, Idghom bila ghunnah",3,ALIM,Baca-Tulis,Baca huruf Al-Quran
Bacaan mad Lazim Mustaqqol Kalimi dan mad Lazim Muthoffaf Harfi,3,ALIM,Baca-Tulis,Baca huruf Al-Quran
Tanda-tanda Waqof,3,ALIM,Baca-Tulis,Baca huruf Al-Quran
Surat-surat pendek mulai surat ad-Dhuha s.d. An-Nas,3,ALIM,Baca-Tulis,Baca huruf Al-Quran
ayat-ayat pilihan (doa-doa dalam Al-Quran),3,ALIM,Baca-Tulis,Baca huruf Al-Quran
Musykilat dan Ghorib (bacaAn-bacaan asing dan tidak sesuai dengan tulisan),3,ALIM,Baca-Tulis,Baca huruf Al-Quran
Menulis rangkaian kata,3,ALIM,Baca-Tulis,Tulis huruf Al-Quran
Menulis kata arab baku/potongan ayat,3,ALIM,Baca-Tulis,Tulis huruf Al-Quran
Menjaga hafalan surat An-Nas s.d. Al-Zalzalah,3,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Surat Al-Bayyinah,3,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Surat Al-Qodr,3,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Asmaulhusna 1-80,3,ALIM,Hafalan,Hafalan doa-doa harian
Menerampilkan hafalan doa pada jenjang sebelumnya,3,ALIM,Hafalan,Hafalan doa-doa harian
Doa ketika menjenguk orang yang sakit,3,ALIM,Hafalan,Hafalan doa-doa harian
Doa ketika memakai pakaian baru,3,ALIM,Hafalan,Hafalan doa-doa harian
Doa ketika naik kendaraan,3,ALIM,Hafalan,Hafalan doa-doa harian
Doa lailatul qodr,3,ALIM,Hafalan,Hafalan doa-doa harian
Doa ketika masuk pasar,3,ALIM,Hafalan,Hafalan doa-doa harian
Doa berlindung dari syirik,3,ALIM,Hafalan,Hafalan doa-doa harian
Doa berlindung dari siksa kubur,3,ALIM,Hafalan,Hafalan doa-doa harian
Dasar-dasar aqidah,3,ALIM,Keilmuan,Dasar Keagamaan
"Rukun Iman, Islam dan Ihsan",3,ALIM,Keilmuan,Dasar Keagamaan
"Pengertian Quran, Hadits, Jamaah",3,ALIM,Keilmuan,Dasar Keagamaan
Kemurnian ibadah,3,ALIM,Keilmuan,Dasar Keagamaan
Pengetahuan wajibnya taat dan haromnya maksiat,3,ALIM,Keilmuan,Dasar Keagamaan
Pengetahuan hukum halAl-harom,3,ALIM,Keilmuan,Dasar Keagamaan
Thoharoh dan sholat,3,ALIM,Keilmuan,Dasar Keagamaan
sholat sunah rowatib,3,ALIM,Keilmuan,Dasar Keagamaan
Puasa Romadhon,3,ALIM,Keilmuan,Dasar Keagamaan
Kefadlolan puasa dan hal-hal yang diperbolehkan serta membatalkan puasa,3,ALIM,Keilmuan,Dasar Keagamaan
Hukum mahrom,3,ALIM,Keilmuan,Dasar Keagamaan
