material,grade,subject,category,subcategory
Menjaga dan menerampilkan hafalan surat-surat Al-Quan pada jenjang sebelumnya,14,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Menjaga dan menerampilkan hafalan doa-doa harian pada jenjang sebelumnya,14,ALIM,Hafalan,Hafalan doa-doa harian
Menampilkan hafalan dalil pada jenjang sebelumnya,14,ALIM,Hafalan,Dalil
Dasar-dasar aqidah,14,ALIM,Keilmuan,Dasar Keagamaan
"Rukun iman, rukun islam dan ihsan",14,ALIM,Keilmuan,Dasar Keagamaan
Pengertian Quran Hadits Jamaah,14,ALIM,Keilmuan,Dasar Keagamaan
"Ilmu manqul, musnad, muttashil",14,ALIM,Keilmuan,Dasar Keagamaan
Kemurnian ibadah,14,ALIM,Keilmuan,Dasar Keagamaan
Pengetahuan wajibnya taat dan haromnya maksiat,14,ALIM,Keilmuan,Dasar Keagamaan
Pengetahuan hukum halAl-harom,14,ALIM,Keilmuan,Dasar Keagamaan
Thoharoh dan sholat,14,ALIM,Keilmuan,Dasar Keagamaan
Mandi junub,14,ALIM,Keilmuan,Dasar Keagamaan
"Hukum haid, mani, madzi, dan wadhi",14,ALIM,Keilmuan,Dasar Keagamaan
"Sholat sunnah: Rowatib, dluha, tahajjud, tasbih, hajat, dan istikhoroh",14,ALIM,Keilmuan,Dasar Keagamaan
Puasa Romadhon,14,ALIM,Keilmuan,Dasar Keagamaan
Kefadlolan puasa dan hal-hal yang diperbolehkan serta membatalkan puasa,14,ALIM,Keilmuan,Dasar Keagamaan
Puasa sunah,14,ALIM,Keilmuan,Dasar Keagamaan
Hukum mahrom,14,ALIM,Keilmuan,Dasar Keagamaan
Aurot,14,ALIM,Keilmuan,Dasar Keagamaan
82,14,ALIM,Al-Quran,Juz 5
83,14,ALIM,Al-Quran,Juz 5
84,14,ALIM,Al-Quran,Juz 5
85,14,ALIM,Al-Quran,Juz 5
86,14,ALIM,Al-Quran,Juz 5
87,14,ALIM,Al-Quran,Juz 5
88,14,ALIM,Al-Quran,Juz 5
89,14,ALIM,Al-Quran,Juz 5
90,14,ALIM,Al-Quran,Juz 5
91,14,ALIM,Al-Quran,Juz 5
92,14,ALIM,Al-Quran,Juz 5
93,14,ALIM,Al-Quran,Juz 5
94,14,ALIM,Al-Quran,Juz 5
95,14,ALIM,Al-Quran,Juz 5
96,14,ALIM,Al-Quran,Juz 5
97,14,ALIM,Al-Quran,Juz 5
98,14,ALIM,Al-Quran,Juz 5
99,14,ALIM,Al-Quran,Juz 5
100,14,ALIM,Al-Quran,Juz 5
101,14,ALIM,Al-Quran,Juz 5
102,14,ALIM,Al-Quran,Juz 6
103,14,ALIM,Al-Quran,Juz 6
104,14,ALIM,Al-Quran,Juz 6
105,14,ALIM,Al-Quran,Juz 6
106,14,ALIM,Al-Quran,Juz 6
107,14,ALIM,Al-Quran,Juz 6
108,14,ALIM,Al-Quran,Juz 6
109,14,ALIM,Al-Quran,Juz 6
110,14,ALIM,Al-Quran,Juz 6
111,14,ALIM,Al-Quran,Juz 6
112,14,ALIM,Al-Quran,Juz 6
113,14,ALIM,Al-Quran,Juz 6
114,14,ALIM,Al-Quran,Juz 6
115,14,ALIM,Al-Quran,Juz 6
116,14,ALIM,Al-Quran,Juz 6
117,14,ALIM,Al-Quran,Juz 6
118,14,ALIM,Al-Quran,Juz 6
119,14,ALIM,Al-Quran,Juz 6
120,14,ALIM,Al-Quran,Juz 6
121,14,ALIM,Al-Quran,Juz 6
122,14,ALIM,Al-Quran,Juz 7
123,14,ALIM,Al-Quran,Juz 7
124,14,ALIM,Al-Quran,Juz 7
125,14,ALIM,Al-Quran,Juz 7
126,14,ALIM,Al-Quran,Juz 7
127,14,ALIM,Al-Quran,Juz 7
128,14,ALIM,Al-Quran,Juz 7
129,14,ALIM,Al-Quran,Juz 7
130,14,ALIM,Al-Quran,Juz 7
131,14,ALIM,Al-Quran,Juz 7
132,14,ALIM,Al-Quran,Juz 7
133,14,ALIM,Al-Quran,Juz 7
134,14,ALIM,Al-Quran,Juz 7
135,14,ALIM,Al-Quran,Juz 7
136,14,ALIM,Al-Quran,Juz 7
137,14,ALIM,Al-Quran,Juz 7
138,14,ALIM,Al-Quran,Juz 7
139,14,ALIM,Al-Quran,Juz 7
140,14,ALIM,Al-Quran,Juz 7
141,14,ALIM,Al-Quran,Juz 7
142,14,ALIM,Al-Quran,Juz 8
143,14,ALIM,Al-Quran,Juz 8
144,14,ALIM,Al-Quran,Juz 8
145,14,ALIM,Al-Quran,Juz 8
146,14,ALIM,Al-Quran,Juz 8
147,14,ALIM,Al-Quran,Juz 8
148,14,ALIM,Al-Quran,Juz 8
149,14,ALIM,Al-Quran,Juz 8
150,14,ALIM,Al-Quran,Juz 8
151,14,ALIM,Al-Quran,Juz 8
152,14,ALIM,Al-Quran,Juz 8
153,14,ALIM,Al-Quran,Juz 8
154,14,ALIM,Al-Quran,Juz 8
155,14,ALIM,Al-Quran,Juz 8
156,14,ALIM,Al-Quran,Juz 8
157,14,ALIM,Al-Quran,Juz 8
158,14,ALIM,Al-Quran,Juz 8
159,14,ALIM,Al-Quran,Juz 8
160,14,ALIM,Al-Quran,Juz 8
161,14,ALIM,Al-Quran,Juz 8
1,14,ALIM,Hadits,Kitabul Kanzil Ummal
2,14,ALIM,Hadits,Kitabul Kanzil Ummal
3,14,ALIM,Hadits,Kitabul Kanzil Ummal
4,14,ALIM,Hadits,Kitabul Kanzil Ummal
5,14,ALIM,Hadits,Kitabul Kanzil Ummal
6,14,ALIM,Hadits,Kitabul Kanzil Ummal
7,14,ALIM,Hadits,Kitabul Kanzil Ummal
8,14,ALIM,Hadits,Kitabul Kanzil Ummal
9,14,ALIM,Hadits,Kitabul Kanzil Ummal
10,14,ALIM,Hadits,Kitabul Kanzil Ummal
11,14,ALIM,Hadits,Kitabul Kanzil Ummal
12,14,ALIM,Hadits,Kitabul Kanzil Ummal
13,14,ALIM,Hadits,Kitabul Kanzil Ummal
14,14,ALIM,Hadits,Kitabul Kanzil Ummal
15,14,ALIM,Hadits,Kitabul Kanzil Ummal
16,14,ALIM,Hadits,Kitabul Kanzil Ummal
17,14,ALIM,Hadits,Kitabul Kanzil Ummal
18,14,ALIM,Hadits,Kitabul Kanzil Ummal
19,14,ALIM,Hadits,Kitabul Kanzil Ummal
20,14,ALIM,Hadits,Kitabul Kanzil Ummal
21,14,ALIM,Hadits,Kitabul Kanzil Ummal
22,14,ALIM,Hadits,Kitabul Kanzil Ummal
23,14,ALIM,Hadits,Kitabul Kanzil Ummal
24,14,ALIM,Hadits,Kitabul Kanzil Ummal
25,14,ALIM,Hadits,Kitabul Kanzil Ummal
26,14,ALIM,Hadits,Kitabul Kanzil Ummal
27,14,ALIM,Hadits,Kitabul Kanzil Ummal
28,14,ALIM,Hadits,Kitabul Kanzil Ummal
29,14,ALIM,Hadits,Kitabul Kanzil Ummal
30,14,ALIM,Hadits,Kitabul Kanzil Ummal
31,14,ALIM,Hadits,Kitabul Kanzil Ummal
32,14,ALIM,Hadits,Kitabul Kanzil Ummal
33,14,ALIM,Hadits,Kitabul Kanzil Ummal
34,14,ALIM,Hadits,Kitabul Kanzil Ummal
35,14,ALIM,Hadits,Kitabul Kanzil Ummal
36,14,ALIM,Hadits,Kitabul Kanzil Ummal
37,14,ALIM,Hadits,Kitabul Kanzil Ummal
38,14,ALIM,Hadits,Kitabul Kanzil Ummal
39,14,ALIM,Hadits,Kitabul Kanzil Ummal
40,14,ALIM,Hadits,Kitabul Kanzil Ummal
41,14,ALIM,Hadits,Kitabul Kanzil Ummal
42,14,ALIM,Hadits,Kitabul Kanzil Ummal
43,14,ALIM,Hadits,Kitabul Kanzil Ummal
44,14,ALIM,Hadits,Kitabul Kanzil Ummal
45,14,ALIM,Hadits,Kitabul Kanzil Ummal
46,14,ALIM,Hadits,Kitabul Kanzil Ummal
47,14,ALIM,Hadits,Kitabul Kanzil Ummal
48,14,ALIM,Hadits,Kitabul Kanzil Ummal
49,14,ALIM,Hadits,Kitabul Kanzil Ummal
50,14,ALIM,Hadits,Kitabul Kanzil Ummal
51,14,ALIM,Hadits,Kitabul Kanzil Ummal
52,14,ALIM,Hadits,Kitabul Kanzil Ummal
53,14,ALIM,Hadits,Kitabul Kanzil Ummal
54,14,ALIM,Hadits,Kitabul Kanzil Ummal
55,14,ALIM,Hadits,Kitabul Kanzil Ummal
56,14,ALIM,Hadits,Kitabul Kanzil Ummal
57,14,ALIM,Hadits,Kitabul Kanzil Ummal
58,14,ALIM,Hadits,Kitabul Kanzil Ummal
59,14,ALIM,Hadits,Kitabul Kanzil Ummal
60,14,ALIM,Hadits,Kitabul Kanzil Ummal
61,14,ALIM,Hadits,Kitabul Kanzil Ummal
62,14,ALIM,Hadits,Kitabul Kanzil Ummal
63,14,ALIM,Hadits,Kitabul Kanzil Ummal
64,14,ALIM,Hadits,Kitabul Kanzil Ummal
65,14,ALIM,Hadits,Kitabul Kanzil Ummal
66,14,ALIM,Hadits,Kitabul Kanzil Ummal
67,14,ALIM,Hadits,Kitabul Kanzil Ummal
68,14,ALIM,Hadits,Kitabul Kanzil Ummal
69,14,ALIM,Hadits,Kitabul Kanzil Ummal
70,14,ALIM,Hadits,Kitabul Kanzil Ummal
71,14,ALIM,Hadits,Kitabul Kanzil Ummal
72,14,ALIM,Hadits,Kitabul Kanzil Ummal
73,14,ALIM,Hadits,Kitabul Kanzil Ummal
74,14,ALIM,Hadits,Kitabul Kanzil Ummal
75,14,ALIM,Hadits,Kitabul Kanzil Ummal
76,14,ALIM,Hadits,Kitabul Kanzil Ummal
77,14,ALIM,Hadits,Kitabul Kanzil Ummal
