material,grade,subject,category,subcategory
Melafalkan huruf hijaiyah,0,ALIM,Baca-Tulis,Baca huruf Al-Quran
Mengucapkan dua huruf hijaiyah berharokat fathah,0,ALIM,Baca-Tulis,Baca huruf Al-Quran
Menulis huruf tunggal hijaiyah,0,ALIM,Baca-Tulis,Tulis huruf Al-Quran
Menulis angka arab,0,ALIM,Baca-Tulis,Tulis huruf Al-Quran
Surat Al-Fatihah,0,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Surat An-Naas,0,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Surat Al-Falaq,0,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Surat Al-Ikhlas,0,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Surat Al-Lahab,0,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Surat An-Nashr,0,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Surat Al-Kafirun,0,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Asmaul Husna 1-20,0,ALIM,Hafalan,Hafalan doa-doa harian
Doa ketika akan tidur dan setelah bangun tidur,0,ALIM,Hafalan,Hafalan doa-doa harian
Doa ketika akan makan dan selesai makan,0,ALIM,Hafalan,Hafalan doa-doa harian
Doa kebaikan dunia dan akhirot,0,ALIM,Hafalan,Hafalan doa-doa harian
Doa untuk kedua orangtua,0,ALIM,Hafalan,Hafalan doa-doa harian
Doa masuk dan keluar WC,0,ALIM,Hafalan,Hafalan doa-doa harian
Dasar-dasar aqidah,0,ALIM,Keilmuan
"Rukun Iman, Islam dan Ihsan",0,ALIM,Keilmuan
"Pengertian Quran, Hadits, Jamaah",0,ALIM,Keilmuan
Thoharoh dan Sholat,0,ALIM,Keilmuan
