material,grade,subject,category,subcategory
Membaca huruf-huruf yang bersukun,2,ALIM,Baca-Tulis,Baca huruf Al-Quran
Membaca huruf-huruf yang bertasydid,2,ALIM,Baca-Tulis,Baca huruf Al-Quran
Bacaan idghom bhigunnah ,2,ALIM,Baca-Tulis,Baca huruf Al-Quran
Bacaan Ikhfa,2,ALIM,Baca-Tulis,Baca huruf Al-Quran
Bacaan Mad Wajib dan Mad Jaiz,2,ALIM,Baca-Tulis,Baca huruf Al-Quran
Menulis rangkaian kata,2,ALIM,Baca-Tulis,Tulis huruf Al-Quran
Menulis kata arab baku/potongan ayat,2,ALIM,Baca-Tulis,Tulis huruf Al-Quran
Menjaga hafalan surat An-Nas s.d. Al-Asyr,2,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Surat At-Takatsur,2,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Surat Al-Qoriah,2,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Surat Al-Adiyat,2,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Surat Al-Zalzalah,2,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Asmaulhusna 1-60,2,ALIM,Hafalan,Hafalan doa-doa harian
Menerampilkan hafalan doa pada jenjang sebelumnya,2,ALIM,Hafalan,Hafalan doa-doa harian
Doa mohon kesabaran,2,ALIM,Hafalan,Hafalan doa-doa harian
Doa mohon kesehatan,2,ALIM,Hafalan,Hafalan doa-doa harian
Doa ketika bersin,2,ALIM,Hafalan,Hafalan doa-doa harian
Doa ketika ada angin kencang,2,ALIM,Hafalan,Hafalan doa-doa harian
Dasar-dasar aqidah,2,ALIM,Keilmuan,Dasar Keagamaan
"Rukun Iman, Islam dan Ihsan",2,ALIM,Keilmuan,Dasar Keagamaan
"Pengertian Quran, Hadits, Jamaah",2,ALIM,Keilmuan,Dasar Keagamaan
Thoharoh dan Sholat,2,ALIM,Keilmuan,Dasar Keagamaan
Pengetahuan wajibnya taat dan haromnya maksiat,2,ALIM,Keilmuan,Dasar Keagamaan
Pengetahuan hukum halal-harom,2,ALIM,Keilmuan,Dasar Keagamaan
Puasa,2,ALIM,Keilmuan,Dasar Keagamaan
