material,grade,subject,category,subcategory
Menjaga dan menerampilkan hafalan surat-surat Al-Qu'an pada jenjang sebelumnya,13,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Menjaga dan menerampilkan hafalan doa-doa harian pada jenjang sebelumnya,13,ALIM,Hafalan,Hafalan doa-doa harian
Menampilkan hafalan dalil pada jenjang sebelumnya,13,ALIM,Hafalan,Dalil
Dasar-dasar aqidah,13,ALIM,Keilmuan,Dasar Keagamaan
"Rukun iman, rukun islam dan ihsan",13,ALIM,Keilmuan,Dasar Keagamaan
Pengertian Qur'an Hadits Jamaah,13,ALIM,Keilmuan,Dasar Keagamaan
"Ilmu manqul, musnad, muttashil",13,ALIM,Keilmuan,Dasar Keagamaan
Kemurnian ibadah,13,ALIM,Keilmuan,Dasar Keagamaan
Pengetahuan wajibnya taat dan haromnya maksiat,13,ALIM,Keilmuan,Dasar Keagamaan
Pengetahuan hukum halAl-harom,13,ALIM,Keilmuan,Dasar Keagamaan
Thoharoh dan sholat,13,ALIM,Keilmuan,Dasar Keagamaan
Mandi junub,13,ALIM,Keilmuan,Dasar Keagamaan
"Hukum haid, mani, madzi, dan wadhi",13,ALIM,Keilmuan,Dasar Keagamaan
"Sholat sunnah: Rowatib, dluha, tahajjud, tasbih, hajat, dan istikhoroh",13,ALIM,Keilmuan,Dasar Keagamaan
Puasa Romadhon,13,ALIM,Keilmuan,Dasar Keagamaan
Kefadlolan puasa dan hal-hal yang diperbolehkan serta membatalkan puasa,13,ALIM,Keilmuan,Dasar Keagamaan
Puasa sunah,13,ALIM,Keilmuan,Dasar Keagamaan
Hukum mahrom,13,ALIM,Keilmuan,Dasar Keagamaan
Aurot,13,ALIM,Keilmuan,Dasar Keagamaan
1,13,ALIM,Al-Qur'an,Juz 1
2,13,ALIM,Al-Qur'an,Juz 1
3,13,ALIM,Al-Qur'an,Juz 1
4,13,ALIM,Al-Qur'an,Juz 1
5,13,ALIM,Al-Qur'an,Juz 1
6,13,ALIM,Al-Qur'an,Juz 1
7,13,ALIM,Al-Qur'an,Juz 1
8,13,ALIM,Al-Qur'an,Juz 1
9,13,ALIM,Al-Qur'an,Juz 1
10,13,ALIM,Al-Qur'an,Juz 1
11,13,ALIM,Al-Qur'an,Juz 1
12,13,ALIM,Al-Qur'an,Juz 1
13,13,ALIM,Al-Qur'an,Juz 1
14,13,ALIM,Al-Qur'an,Juz 1
15,13,ALIM,Al-Qur'an,Juz 1
16,13,ALIM,Al-Qur'an,Juz 1
17,13,ALIM,Al-Qur'an,Juz 1
18,13,ALIM,Al-Qur'an,Juz 1
19,13,ALIM,Al-Qur'an,Juz 1
20,13,ALIM,Al-Qur'an,Juz 1
21,13,ALIM,Al-Qur'an,Juz 1
22,13,ALIM,Al-Qur'an,Juz 2
23,13,ALIM,Al-Qur'an,Juz 2
24,13,ALIM,Al-Qur'an,Juz 2
25,13,ALIM,Al-Qur'an,Juz 2
26,13,ALIM,Al-Qur'an,Juz 2
27,13,ALIM,Al-Qur'an,Juz 2
28,13,ALIM,Al-Qur'an,Juz 2
29,13,ALIM,Al-Qur'an,Juz 2
30,13,ALIM,Al-Qur'an,Juz 2
31,13,ALIM,Al-Qur'an,Juz 2
32,13,ALIM,Al-Qur'an,Juz 2
33,13,ALIM,Al-Qur'an,Juz 2
34,13,ALIM,Al-Qur'an,Juz 2
35,13,ALIM,Al-Qur'an,Juz 2
36,13,ALIM,Al-Qur'an,Juz 2
37,13,ALIM,Al-Qur'an,Juz 2
38,13,ALIM,Al-Qur'an,Juz 2
39,13,ALIM,Al-Qur'an,Juz 2
40,13,ALIM,Al-Qur'an,Juz 2
41,13,ALIM,Al-Qur'an,Juz 2
42,13,ALIM,Al-Qur'an,Juz 3
43,13,ALIM,Al-Qur'an,Juz 3
44,13,ALIM,Al-Qur'an,Juz 3
45,13,ALIM,Al-Qur'an,Juz 3
46,13,ALIM,Al-Qur'an,Juz 3
47,13,ALIM,Al-Qur'an,Juz 3
48,13,ALIM,Al-Qur'an,Juz 3
49,13,ALIM,Al-Qur'an,Juz 3
50,13,ALIM,Al-Qur'an,Juz 3
51,13,ALIM,Al-Qur'an,Juz 3
52,13,ALIM,Al-Qur'an,Juz 3
53,13,ALIM,Al-Qur'an,Juz 3
54,13,ALIM,Al-Qur'an,Juz 3
55,13,ALIM,Al-Qur'an,Juz 3
56,13,ALIM,Al-Qur'an,Juz 3
57,13,ALIM,Al-Qur'an,Juz 3
58,13,ALIM,Al-Qur'an,Juz 3
59,13,ALIM,Al-Qur'an,Juz 3
60,13,ALIM,Al-Qur'an,Juz 3
61,13,ALIM,Al-Qur'an,Juz 3
