material,grade,subject,category,subcategory
"Menjaga hafalan juz 30 dan surat pilihan sebelumnya (Al-Baqoroh, Al-Hasyr, As-Shof, Al-Mu'minun, Al-Kahfi)",12,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Surat-surat pilihan (Surat Al-Mulk),12,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Menjaga dan mempraktikkan hafalan doa-doa harian yang telah dihafal,12,ALIM,Hafalan,Hafalan doa-doa harian
Menampilkan hafalan dalil pada jenjang sebelumnya,12,ALIM,Hafalan,Dalil
Enam Thobiat Luhur Jamaah,12,ALIM,Hafalan,Dalil
Wajibnya berjamaah,12,ALIM,Hafalan,Dalil
Lima Syarat Kerukunan,12,ALIM,Hafalan,Dalil
Dasar-dasar aqidah,12,ALIM,Keilmuan,Dasar Keagamaan
"Rukun iman, rukun islam dan ihsan",12,ALIM,Keilmuan,Dasar Keagamaan
Pengertian Qur'an Hadits Jamaah,12,ALIM,Keilmuan,Dasar Keagamaan
"Ilmu manqul, musnad, muttashil",12,ALIM,Keilmuan,Dasar Keagamaan
Kemurnian ibadah,12,ALIM,Keilmuan,Dasar Keagamaan
Pengetahuan wajibnya taat dan haromnya maksiat,12,ALIM,Keilmuan,Dasar Keagamaan
Pengetahuan hukum halAl-harom,12,ALIM,Keilmuan,Dasar Keagamaan
Thoharoh dan sholat,12,ALIM,Keilmuan,Dasar Keagamaan
Mandi junub,12,ALIM,Keilmuan,Dasar Keagamaan
"Hukum haid, mani, madzi, dan wadhi",12,ALIM,Keilmuan,Dasar Keagamaan
"Sholat sunnah: Rowatib, dluha, tahajjud, tasbih, hajat, dan istikhoroh",12,ALIM,Keilmuan,Dasar Keagamaan
Puasa Romadhon,12,ALIM,Keilmuan,Dasar Keagamaan
Kefadlolan puasa dan hal-hal yang diperbolehkan serta membatalkan puasa,12,ALIM,Keilmuan,Dasar Keagamaan
Puasa sunah,12,ALIM,Keilmuan,Dasar Keagamaan
Hukum mahrom,12,ALIM,Keilmuan,Dasar Keagamaan
Aurot,12,ALIM,Keilmuan,Dasar Keagamaan
322,12,ALIM,Al-Qur'an,Juz 17
323,12,ALIM,Al-Qur'an,Juz 17
324,12,ALIM,Al-Qur'an,Juz 17
325,12,ALIM,Al-Qur'an,Juz 17
326,12,ALIM,Al-Qur'an,Juz 17
327,12,ALIM,Al-Qur'an,Juz 17
328,12,ALIM,Al-Qur'an,Juz 17
329,12,ALIM,Al-Qur'an,Juz 17
330,12,ALIM,Al-Qur'an,Juz 17
331,12,ALIM,Al-Qur'an,Juz 17
332,12,ALIM,Al-Qur'an,Juz 17
333,12,ALIM,Al-Qur'an,Juz 17
334,12,ALIM,Al-Qur'an,Juz 17
335,12,ALIM,Al-Qur'an,Juz 17
336,12,ALIM,Al-Qur'an,Juz 17
337,12,ALIM,Al-Qur'an,Juz 17
338,12,ALIM,Al-Qur'an,Juz 17
339,12,ALIM,Al-Qur'an,Juz 17
340,12,ALIM,Al-Qur'an,Juz 17
341,12,ALIM,Al-Qur'an,Juz 17
342,12,ALIM,Al-Qur'an,Juz 18
343,12,ALIM,Al-Qur'an,Juz 18
344,12,ALIM,Al-Qur'an,Juz 18
345,12,ALIM,Al-Qur'an,Juz 18
346,12,ALIM,Al-Qur'an,Juz 18
347,12,ALIM,Al-Qur'an,Juz 18
348,12,ALIM,Al-Qur'an,Juz 18
349,12,ALIM,Al-Qur'an,Juz 18
350,12,ALIM,Al-Qur'an,Juz 18
351,12,ALIM,Al-Qur'an,Juz 18
352,12,ALIM,Al-Qur'an,Juz 18
353,12,ALIM,Al-Qur'an,Juz 18
354,12,ALIM,Al-Qur'an,Juz 18
355,12,ALIM,Al-Qur'an,Juz 18
356,12,ALIM,Al-Qur'an,Juz 18
357,12,ALIM,Al-Qur'an,Juz 18
358,12,ALIM,Al-Qur'an,Juz 18
359,12,ALIM,Al-Qur'an,Juz 18
360,12,ALIM,Al-Qur'an,Juz 18
361,12,ALIM,Al-Qur'an,Juz 18
