material,grade,subject,category,subcategory
"Al-Qur'an juz 24, 25, 26, 27, 28, 29, dan 30",9,ALIM,Baca-Tulis,Baca huruf Al-Quran
Hukum makhorijul huruf,9,ALIM,Baca-Tulis,Baca huruf Al-Quran
Hukum sifat-sifat huruf,9,ALIM,Baca-Tulis,Baca huruf Al-Quran
"Hukum pembagian waqof (Tam, Kafy, Hasan, Qobih)",9,ALIM,Baca-Tulis,Baca huruf Al-Quran
Hukum bid'ah dalam bacaan,9,ALIM,Baca-Tulis,Baca huruf Al-Quran
Hukum takbir,9,ALIM,Baca-Tulis,Baca huruf Al-Quran
Menjaga hafalan surat An-Naas s.d. Al-Infithor,9,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Surat Abasa,9,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Surat An-Naziat,9,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Surat An-Naba,9,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Surat-surat pilihan (As-Shof 10 s.d. 13),9,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Menjaga dan mempraktikkan hafalan doa-doa harian yang telah dihafal,9,ALIM,Hafalan,Hafalan doa-doa harian
Menampilkan hafalan dalil pada jenjang sebelumnya,9,ALIM,Hafalan,Dalil
Empat Roda Berputar dalam Jamaah,9,ALIM,Hafalan,Dalil
Lima Usaha mencari kefahaman,9,ALIM,Hafalan,Dalil
Dasar-dasar aqidah,9,ALIM,Keilmuan,Dasar Keagamaan
"Rukun iman, rukun islam dan ihsan",9,ALIM,Keilmuan,Dasar Keagamaan
Pengertian Qur'an Hadits Jamaah,9,ALIM,Keilmuan,Dasar Keagamaan
"Ilmu manqul, musnad, muttashil",9,ALIM,Keilmuan,Dasar Keagamaan
Kemurnian ibadah,9,ALIM,Keilmuan,Dasar Keagamaan
Pengetahuan wajibnya taat dan haromnya maksiat,9,ALIM,Keilmuan,Dasar Keagamaan
Pengetahuan hukum halAl-harom,9,ALIM,Keilmuan,Dasar Keagamaan
Thoharoh dan sholat,9,ALIM,Keilmuan,Dasar Keagamaan
Mandi junub,9,ALIM,Keilmuan,Dasar Keagamaan
"Hukum haid, mani, madzi, dan wadhi",9,ALIM,Keilmuan,Dasar Keagamaan
"Sholat sunnah: Rowatib, dluha, tahajjud, tasbih, hajat, dan istikhoroh",9,ALIM,Keilmuan,Dasar Keagamaan
Puasa Romadhon,9,ALIM,Keilmuan,Dasar Keagamaan
Kefadlolan puasa dan hal-hal yang diperbolehkan serta membatalkan puasa,9,ALIM,Keilmuan,Dasar Keagamaan
