material,grade,subject,category,subcategory
Menjaga hafalan juz 30,10,ALIM,Hafalan,Hafalan surat-surat Al-Quran
"Al-Baqoroh 1-4, 255-257, 284-286",10,ALIM,Hafalan,Hafalan surat-surat Al-Quran
3 ayat terakhir Al-Hasyr,10,ALIM,Hafalan,Hafalan surat-surat Al-Quran
As-Shof 10-13,10,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Menjaga dan mempraktikkan hafalan doa-doa harian yang telah dihafal,10,ALIM,Hafalan,Hafalan doa-doa harian
Menampilkan hafalan dalil pada jenjang sebelumnya,10,ALIM,Hafalan,Dalil
Lima Bab,10,ALIM,Hafalan,Dalil
Empat Tali Keimanan,10,ALIM,Hafalan,Dalil
Tri Sukses Generasi Penerus,10,ALIM,Hafalan,Dalil
Dasar-dasar aqidah,10,ALIM,Keilmuan,Dasar Keagamaan
"Rukun iman, rukun islam dan ihsan",10,ALIM,Keilmuan,Dasar Keagamaan
Pengertian Quran Hadits Jamaah,10,ALIM,Keilmuan,Dasar Keagamaan
"Ilmu manqul, musnad, muttashil",10,ALIM,Keilmuan,Dasar Keagamaan
Kemurnian ibadah,10,ALIM,Keilmuan,Dasar Keagamaan
Pengetahuan wajibnya taat dan haromnya maksiat,10,ALIM,Keilmuan,Dasar Keagamaan
Pengetahuan hukum halAl-harom,10,ALIM,Keilmuan,Dasar Keagamaan
Thoharoh dan sholat,10,ALIM,Keilmuan,Dasar Keagamaan
Mandi junub,10,ALIM,Keilmuan,Dasar Keagamaan
"Hukum haid, mani, madzi, dan wadhi",10,ALIM,Keilmuan,Dasar Keagamaan
"Sholat sunnah: Rowatib, dluha, tahajjud, tasbih, hajat, dan istikhoroh",10,ALIM,Keilmuan,Dasar Keagamaan
Puasa Romadhon,10,ALIM,Keilmuan,Dasar Keagamaan
Kefadlolan puasa dan hal-hal yang diperbolehkan serta membatalkan puasa,10,ALIM,Keilmuan,Dasar Keagamaan
Puasa sunah,10,ALIM,Keilmuan,Dasar Keagamaan
Hukum mahrom,10,ALIM,Keilmuan,Dasar Keagamaan
Aurot,10,ALIM,Keilmuan,Dasar Keagamaan
162,10,ALIM,Al-Quran,Juz 9
163,10,ALIM,Al-Quran,Juz 9
164,10,ALIM,Al-Quran,Juz 9
165,10,ALIM,Al-Quran,Juz 9
166,10,ALIM,Al-Quran,Juz 9
167,10,ALIM,Al-Quran,Juz 9
168,10,ALIM,Al-Quran,Juz 9
169,10,ALIM,Al-Quran,Juz 9
170,10,ALIM,Al-Quran,Juz 9
171,10,ALIM,Al-Quran,Juz 9
172,10,ALIM,Al-Quran,Juz 9
173,10,ALIM,Al-Quran,Juz 9
174,10,ALIM,Al-Quran,Juz 9
175,10,ALIM,Al-Quran,Juz 9
176,10,ALIM,Al-Quran,Juz 9
177,10,ALIM,Al-Quran,Juz 9
178,10,ALIM,Al-Quran,Juz 9
179,10,ALIM,Al-Quran,Juz 9
180,10,ALIM,Al-Quran,Juz 9
181,10,ALIM,Al-Quran,Juz 9
182,10,ALIM,Al-Quran,Juz 10
183,10,ALIM,Al-Quran,Juz 10
184,10,ALIM,Al-Quran,Juz 10
